"","ID","num_rue"
"1",1,NA
"2",2,NA
"3",3,NA
"4",4,NA
"5",5,17
"6",6,87
"7",7,87
"8",8,NA
"9",9,NA
"10",10,NA
"11",11,NA
"12",12,90
"13",13,90
"14",14,13
"15",15,NA
"16",16,17
"17",17,NA
"18",18,19
"19",19,NA
"20",20,11
"21",21,NA
"22",22,117
"23",23,NA
"24",24,137
"25",25,103
"26",26,NA
"27",27,NA
"28",28,NA
"29",29,NA
"30",30,NA
"31",31,NA
"32",32,70
"33",33,124
"34",34,127
"35",35,NA
"36",36,NA
"37",37,70
"38",38,NA
"39",39,102
"40",40,103
"41",41,NA
"42",42,NA
"43",43,102
"44",44,NA
"45",45,15
"46",46,120
"47",47,NA
"48",48,NA
"49",49,NA
"50",50,19
"51",51,NA
"52",52,NA
"53",53,NA
"54",54,70
"55",55,NA
"56",56,NA
"57",57,144
"58",58,NA
"59",59,120
"60",60,11
"61",61,NA
"62",62,17
"63",63,122
"64",64,126
"65",65,96
"66",66,120
"67",67,NA
"68",68,138
"69",69,NA
"70",70,127
"71",71,98
"72",72,NA
"73",73,NA
"74",74,NA
"75",75,NA
"76",76,NA
"77",77,17
"78",78,NA
"79",79,10
"80",80,NA
"81",81,NA
"82",82,NA
"83",83,NA
"84",84,NA
"85",85,117
"86",86,127
"87",87,29
"88",88,29
"89",89,10
"90",90,NA
"91",91,NA
"92",92,100
"93",93,50
"94",94,108
"95",95,129
"96",96,56
"97",97,130
"98",98,65
"99",99,NA
"100",100,124
"101",101,134
"102",102,145
"103",103,NA
"104",104,NA
"105",105,NA
"106",106,11
"107",107,40
"108",108,150
"109",109,47
"110",110,170
"111",111,NA
"112",112,NA
"113",113,NA
"114",114,137
"115",115,NA
"116",116,NA
"117",117,158
"118",118,120
"119",119,NA
"120",120,66
"121",121,15
"122",122,52
"123",123,NA
"124",124,158
"125",125,NA
"126",126,NA
"127",127,160
"128",128,214
"129",129,178
"130",130,12
"131",131,NA
"132",132,NA
"133",133,NA
"134",134,NA
"135",135,NA
"136",136,141
"137",137,NA
"138",138,118
"139",139,NA
"140",140,161
